id,file_path,purpose,size,variant,processing_result,source,version,page_location,acceptance_status
action-close,icons/common/action-close.svg,关闭,24x24 viewBox,standard,保留并同墙校正,原创可编辑SVG/代码绘制,v2.0,通用操作,静态视觉通过
action-download,icons/common/action-download.svg,下载,24x24 viewBox,standard,光学与结构精修,原创可编辑SVG/代码绘制,v2.0,通用操作,静态视觉通过
action-expand,icons/common/action-expand.svg,展开场景,24x24 viewBox,standard,光学与结构精修,原创可编辑SVG/代码绘制,v2.0,数字孪生/通用操作,静态视觉通过
action-filter,icons/common/action-filter.svg,筛选,24x24 viewBox,standard,保留并同墙校正,原创可编辑SVG/代码绘制,v2.0,通用操作,静态视觉通过
action-pause,icons/common/action-pause.svg,暂停,24x24 viewBox,standard,保留并同墙校正,原创可编辑SVG/代码绘制,v2.0,通用操作,静态视觉通过
action-play,icons/common/action-play.svg,开始,24x24 viewBox,standard,光学与结构精修,原创可编辑SVG/代码绘制,v2.0,通用操作,静态视觉通过
action-refresh,icons/common/action-refresh.svg,刷新,24x24 viewBox,standard,保留并同墙校正,原创可编辑SVG/代码绘制,v2.0,通用操作,静态视觉通过
action-save,icons/common/action-save.svg,保存,24x24 viewBox,standard,光学与结构精修,原创可编辑SVG/代码绘制,v2.0,通用操作,静态视觉通过
action-search,icons/common/action-search.svg,搜索,24x24 viewBox,standard,保留并同墙校正,原创可编辑SVG/代码绘制,v2.0,通用操作,静态视觉通过
action-send,icons/common/action-send.svg,发送,24x24 viewBox,standard,保留并同墙校正,原创可编辑SVG/代码绘制,v2.0,知识库,静态视觉通过
action-settings,icons/common/action-settings.svg,设置,24x24 viewBox,standard,按PRD重画,原创可编辑SVG/代码绘制,v2.0,通用操作,静态视觉通过
action-upload,icons/common/action-upload.svg,上传,24x24 viewBox,standard,光学与结构精修,原创可编辑SVG/代码绘制,v2.0,通用操作,静态视觉通过
asset-file,icons/common/asset-file.svg,文件资源,24x24 viewBox,standard,保留并同墙校正,原创可编辑SVG/代码绘制,v2.0,资源列表,静态视觉通过
asset-folder,icons/common/asset-folder.svg,文件夹资源,24x24 viewBox,standard,光学与结构精修,原创可编辑SVG/代码绘制,v2.0,资源列表,静态视觉通过
asset-image,icons/common/asset-image.svg,图像资源,24x24 viewBox,standard,保留并同墙校正,原创可编辑SVG/代码绘制,v2.0,资源列表,静态视觉通过
asset-video,icons/common/asset-video.svg,视频资源,24x24 viewBox,standard,保留并同墙校正,原创可编辑SVG/代码绘制,v2.0,资源列表,静态视觉通过
identity-agent,icons/common/identity-agent.svg,小木身份,24x24 viewBox,standard,光学与结构精修,原创可编辑SVG/代码绘制,v2.0,知识库/小木,静态视觉通过
identity-user,icons/common/identity-user.svg,用户身份,24x24 viewBox,standard,保留并同墙校正,原创可编辑SVG/代码绘制,v2.0,全局,静态视觉通过
nav-capture,icons/common/nav-capture.svg,采集作业导航,24x24 viewBox,standard,保留并同墙校正,原创可编辑SVG/代码绘制,v2.0,一级导航/设备与采集,静态视觉通过
nav-knowledge,icons/common/nav-knowledge.svg,知识库导航,24x24 viewBox,standard,保留并同墙校正,原创可编辑SVG/代码绘制,v2.0,一级导航/知识库,静态视觉通过
nav-mapping,icons/common/nav-mapping.svg,建图巡检导航,24x24 viewBox,standard,保留并同墙校正,原创可编辑SVG/代码绘制,v2.0,一级导航,静态视觉通过
nav-model,icons/common/nav-model.svg,模型适配导航,24x24 viewBox,standard,按PRD重画,原创可编辑SVG/代码绘制,v2.0,一级导航/模型适配,静态视觉通过
nav-orders,icons/common/nav-orders.svg,工单档案导航,24x24 viewBox,standard,保留并同墙校正,原创可编辑SVG/代码绘制,v2.0,一级导航,静态视觉通过
nav-overview,icons/common/nav-overview.svg,态势总览导航,24x24 viewBox,standard,保留并同墙校正,原创可编辑SVG/代码绘制,v2.0,一级导航,静态视觉通过
nav-report,icons/common/nav-report.svg,报告归档导航,24x24 viewBox,standard,光学与结构精修,原创可编辑SVG/代码绘制,v2.0,一级导航/报告归档,静态视觉通过
nav-twin,icons/common/nav-twin.svg,数字孪生导航,24x24 viewBox,standard,光学与结构精修,原创可编辑SVG/代码绘制,v2.0,一级导航/数字孪生,静态视觉通过
